participant_id,neighbor_id,similarity
913ed9f9,7115d98a,0.506
913ed9f9,a79667d2,0.445
913ed9f9,c54b9ba7,0.377
afd7eca8,4b12ebf3,0.512
afd7eca8,2fe45bc9,0.512
afd7eca8,f9211aa4,0.512
a110422f,ca50b8d7,0.326
a110422f,902d5837,0.271
a110422f,cfb2f30b,0.232
a110422f,2692327c,0.317
a110422f,15d22aa4,0.231
a110422f,a110422f,0.218
4961c2de,fe4d9479,0.0
4961c2de,4b12ebf3,0.0
4961c2de,9c31cd1a,0.0
0965530b,0965530b,1.0
0965530b,33b1248b,1.0
0965530b,2d3ba0ed,1.0
a84d9bd3,602e04ce,0.446
a84d9bd3,2fad5db9,0.328
a84d9bd3,4b12ebf3,0.323
a73097b0,05780c53,0.787
a73097b0,602e04ce,0.399
a73097b0,1a77dc72,0.282
b7410387,cfb2f30b,1.0
b7410387,30c4aebf,0.644
b7410387,902d5837,0.388
b7410387,cbef372e,0.286
b7410387,9c6ea6dd,0.278
b7410387,9c16ded3,0.274
b7410387,95625628,0.389
b7410387,2d3ba0ed,0.37
b7410387,33b1248b,0.37
c8eb20b2,60a38ed2,0.417
c8eb20b2,bd0979de,0.342
c8eb20b2,ba97bc95,0.0
937e6403,c083638f,0.59
937e6403,9ea9ebab,0.422
937e6403,9a49b4cc,0.29
937e6403,b3250049,0.448
937e6403,f743111a,0.268
937e6403,9ea9ebab,0.232
fd7eec4a,0b885f18,1.0
fd7eec4a,2d41163b,1.0
fd7eec4a,be31f250,0.566
23ef7162,60a38ed2,0.368
23ef7162,ba97bc95,0.0
23ef7162,fe4d9479,0.0
978195d6,0965530b,1.0
978195d6,33b1248b,1.0
978195d6,2d3ba0ed,1.0
f743111a,b3250049,0.487
f743111a,8e2d6495,0.436
f743111a,2d3ba0ed,0.42
8e2d6495,f743111a,0.436
8e2d6495,ffc0d51b,0.323
8e2d6495,cc68faaf,0.323
8037aac3,67f30f32,0.392
8037aac3,1dc9af91,0.392
8037aac3,60a38ed2,0.245
9c6ea6dd,feab8a7b,0.378
9c6ea6dd,ce7f4240,0.328
9c6ea6dd,b7410387,0.278
bbf68ff9,eeaca6e9,0.283
bbf68ff9,f743111a,0.274
bbf68ff9,05780c53,0.261
9e7407e8,fce7a290,0.629
9e7407e8,9d1914ff,0.469
9e7407e8,08057df8,0.464
9e7407e8,000edf84,0.318
9e7407e8,95625628,0.294
9e7407e8,30a889b0,0.224
95625628,30c4aebf,0.512
95625628,b7410387,0.389
95625628,96404718,0.332
ca50b8d7,60a38ed2,0.543
ca50b8d7,b7410387,0.36
ca50b8d7,a110422f,0.326
f0e452fe,33201ef9,0.496
f0e452fe,ffc0d51b,0.415
f0e452fe,1a77dc72,0.355
61747b88,96ada47a,0.805
61747b88,327a6411,0.805
61747b88,e6381a31,0.805
6b655ef5,542300fd,0.667
6b655ef5,67f30f32,0.438
6b655ef5,c083638f,0.254
f1413414,edd34b65,0.438
f1413414,fd7eec4a,0.329
f1413414,2d41163b,0.329
bd0979de,c8eb20b2,0.342
bd0979de,d40151a5,0.242
bd0979de,b3250049,0.217
d40151a5,c083638f,0.363
d40151a5,8e2d6495,0.298
d40151a5,436c1717,0.289
eeaca6e9,902d5837,0.406
eeaca6e9,bbf68ff9,0.283
eeaca6e9,ce7f4240,0.278
eeaca6e9,fe4d9479,0.0
eeaca6e9,4b12ebf3,0.0
eeaca6e9,9c31cd1a,0.0
bf546dd8,fe4d9479,0.583
bf546dd8,2d41163b,0.52
bf546dd8,0b885f18,0.52
33b1248b,0965530b,1.0
33b1248b,33b1248b,1.0
33b1248b,2d3ba0ed,1.0
30c4aebf,cfb2f30b,0.644
30c4aebf,b7410387,0.644
30c4aebf,902d5837,0.602
2d3ba0ed,0965530b,1.0
2d3ba0ed,33b1248b,1.0
2d3ba0ed,2d3ba0ed,1.0
66c7b16e,e6381a31,1.0
66c7b16e,327a6411,1.0
66c7b16e,fdc75025,1.0
ae38bdc6,fe4d9479,0.0
ae38bdc6,4b12ebf3,0.0
ae38bdc6,9c31cd1a,0.0
f9211aa4,2fe45bc9,1.0
f9211aa4,f9211aa4,1.0
f9211aa4,afd7eca8,0.512
33201ef9,f0e452fe,0.496
33201ef9,9e2459eb,0.344
33201ef9,9c6ea6dd,0.27
902d5837,ce7f4240,0.685
902d5837,eeaca6e9,0.406
902d5837,ba97bc95,0.0
902d5837,30c4aebf,0.602
902d5837,b7410387,0.388
902d5837,cfb2f30b,0.388
f2de5ff6,30c4aebf,0.435
f2de5ff6,afd7eca8,0.314
f2de5ff6,e39493f0,0.299
cfb2f30b,cfb2f30b,1.0
cfb2f30b,30c4aebf,0.644
cfb2f30b,902d5837,0.388
e39493f0,fe4d9479,0.0
e39493f0,4b12ebf3,0.0
e39493f0,9c31cd1a,0.0
e39493f0,9a49b4cc,0.588
e39493f0,9ea9ebab,0.419
e39493f0,f2de5ff6,0.299
e8b50d18,fe4d9479,0.0
e8b50d18,4b12ebf3,0.0
e8b50d18,9c31cd1a,0.0
e8b50d18,f8ccd7c6,0.894
e8b50d18,dc0ff952,0.509
e8b50d18,f0a875b9,0.486
9ea9ebab,937e6403,0.422
9ea9ebab,e39493f0,0.419
9ea9ebab,c083638f,0.305
700b0b49,edd34b65,1.0
700b0b49,ba97bc95,0.0
700b0b49,fe4d9479,0.0
700b0b49,4aa43b6e,0.952
700b0b49,2d3ba0ed,0.305
700b0b49,33b1248b,0.305
000edf84,796b0ad0,0.589
000edf84,9c31cd1a,0.319
000edf84,9e7407e8,0.318
d7a09335,fe4d9479,0.0
d7a09335,4b12ebf3,0.0
d7a09335,9c31cd1a,0.0
ce7f4240,902d5837,0.685
ce7f4240,9c6ea6dd,0.328
ce7f4240,eeaca6e9,0.278
2d41163b,2d41163b,1.0
2d41163b,cbef372e,0.571
2d41163b,9ed3595c,0.491
2d41163b,2d41163b,1.0
2d41163b,cbef372e,0.571
2d41163b,9ed3595c,0.491
2d41163b,0b885f18,1.0
2d41163b,2d41163b,1.0
2d41163b,be31f250,0.566
c62e0917,fe4d9479,0.0
c62e0917,4b12ebf3,0.0
c62e0917,9c31cd1a,0.0
847d5d95,cc68faaf,0.894
847d5d95,f6de10c5,0.781
847d5d95,30c4aebf,0.449
847d5d95,cbef372e,0.421
847d5d95,4b12ebf3,0.0
847d5d95,ba97bc95,0.0
9a49b4cc,e39493f0,0.588
9a49b4cc,4aa43b6e,0.306
9a49b4cc,700b0b49,0.291
8e9dbae3,96404718,0.513
8e9dbae3,67f30f32,0.302
8e9dbae3,ba97bc95,0.289
dc0ff952,f8ccd7c6,0.569
dc0ff952,f0a875b9,0.551
dc0ff952,e8b50d18,0.509
32dfaea0,2fe45bc9,1.0
32dfaea0,61747b88,0.657
32dfaea0,96ada47a,0.529
80662765,fe4d9479,0.0
80662765,4b12ebf3,0.0
80662765,9c31cd1a,0.0
602e04ce,1a77dc72,0.707
602e04ce,feab8a7b,0.575
602e04ce,c59bf3a7,0.563
602e04ce,2fad5db9,0.814
602e04ce,a84d9bd3,0.446
602e04ce,4b12ebf3,0.404
9ed3595c,2d41163b,0.491
9ed3595c,2d41163b,0.491
9ed3595c,60a38ed2,0.455
fce7a290,9d1914ff,0.745
fce7a290,9e7407e8,0.629
fce7a290,33b1248b,0.382
edd34b65,c54b9ba7,0.595
edd34b65,f1413414,0.438
edd34b65,9c31cd1a,0.295
edd34b65,7115d98a,0.44
edd34b65,e8ddc51f,0.415
edd34b65,20eea25d,0.386
edd34b65,edd34b65,1.0
edd34b65,ba97bc95,0.0
edd34b65,fe4d9479,0.0
fdc75025,fe4d9479,0.0
fdc75025,4b12ebf3,0.0
fdc75025,9c31cd1a,0.0
fdc75025,e6381a31,1.0
fdc75025,327a6411,1.0
fdc75025,fdc75025,1.0
5abefd60,363a2931,1.0
5abefd60,c54b9ba7,1.0
5abefd60,ba97bc95,0.0
ffc0d51b,1a77dc72,0.583
ffc0d51b,33b1248b,0.566
ffc0d51b,2d3ba0ed,0.566
436c1717,c083638f,0.572
436c1717,ffc0d51b,0.317
436c1717,f2de5ff6,0.293
c54b9ba7,363a2931,1.0
c54b9ba7,c54b9ba7,1.0
c54b9ba7,ba97bc95,0.0
c54b9ba7,edd34b65,0.595
c54b9ba7,913ed9f9,0.377
c54b9ba7,a79667d2,0.369
be31f250,fd7eec4a,0.566
be31f250,2d41163b,0.566
be31f250,0b885f18,0.566
2fe45bc9,2fe45bc9,1.0
2fe45bc9,61747b88,0.657
2fe45bc9,96ada47a,0.529
2fe45bc9,2fe45bc9,1.0
2fe45bc9,f9211aa4,1.0
2fe45bc9,afd7eca8,0.512
f8ccd7c6,e8b50d18,0.894
f8ccd7c6,dc0ff952,0.569
f8ccd7c6,f0a875b9,0.543
2692327c,9c16ded3,0.353
2692327c,a110422f,0.317
2692327c,b3250049,0.267
a0a95456,08e2f8f4,0.709
a0a95456,4b12ebf3,0.43
a0a95456,f9211aa4,0.43
a79667d2,feab8a7b,0.63
a79667d2,c59bf3a7,0.618
a79667d2,913ed9f9,0.445
c59bf3a7,feab8a7b,0.713
c59bf3a7,a79667d2,0.618
c59bf3a7,602e04ce,0.563
05780c53,a73097b0,0.787
05780c53,bbf68ff9,0.261
05780c53,2d3ba0ed,0.256
5b7cd4bb,fe4d9479,0.0
5b7cd4bb,4b12ebf3,0.0
5b7cd4bb,9c31cd1a,0.0
e6381a31,e6381a31,1.0
e6381a31,327a6411,1.0
e6381a31,fdc75025,1.0
efd3b5bf,feab8a7b,0.326
efd3b5bf,9e2459eb,0.319
efd3b5bf,9a49b4cc,0.274
cbef372e,2d41163b,0.571
cbef372e,2d41163b,0.571
cbef372e,b5211f62,0.421
cbef372e,b7410387,0.286
cbef372e,ca50b8d7,0.253
cbef372e,2692327c,0.24
8f89b9ea,443afef4,0.703
8f89b9ea,15d22aa4,0.554
8f89b9ea,e412cbf5,0.47
7115d98a,913ed9f9,0.506
7115d98a,edd34b65,0.44
7115d98a,ba97bc95,0.0
96ada47a,e6381a31,1.0
96ada47a,327a6411,1.0
96ada47a,fdc75025,1.0
8a388087,fe4d9479,0.0
8a388087,4b12ebf3,0.0
8a388087,9c31cd1a,0.0
19437760,ba97bc95,0.469
19437760,9a49b4cc,0.249
19437760,e39493f0,0.246
c083638f,937e6403,0.59
c083638f,436c1717,0.572
c083638f,542300fd,0.381
327a6411,e6381a31,1.0
327a6411,327a6411,1.0
327a6411,fdc75025,1.0
b5211f62,cbef372e,0.421
b5211f62,ba97bc95,0.0
b5211f62,fe4d9479,0.0
9c31cd1a,2d41163b,0.489
9c31cd1a,2d41163b,0.489
9c31cd1a,000edf84,0.319
4b12ebf3,2fe45bc9,1.0
4b12ebf3,f9211aa4,1.0
4b12ebf3,afd7eca8,0.512
fe4d9479,f7276a78,0.6
fe4d9479,bf546dd8,0.583
fe4d9479,be31f250,0.536
ba97bc95,19437760,0.469
ba97bc95,8e9dbae3,0.289
ba97bc95,ca50b8d7,0.275
