timestamp,background,hometown,song_title,song_artist,taste_text,ai_definition,participant_id
8/17/2026 11:51:18,Business Administration,"Charlotte, NC",HUMBLE,Kendrick Lamar,Hyped,"It's a developing tool that has many benefits but many drawbacks, as well.",363a2931
8/17/2026 11:51:21,Computer Science major with hopefully minors in Math and AI,"Wilkesboro, NC",Rescuer,Alex Warren,Happy because itâs a song about his wife and thatâs sweet,"Artificial Intelligence (AI) is a computer program trained on data so that it can pick up on patterns such that it can achieve some end, usually emulating some sort of human activity.",e412cbf5
8/17/2026 11:51:22,Political science,India,Everybody wants to rule the world,Tears for fears,Makes me feel ambitious but makes me feel aware about how everybody wants the same things at the core but with different purposes and meanings,Anything that is Self learning and pattern recognising,5b416c55
8/17/2026 11:51:29,Management and Society,"Raleigh, NC",Be her,Ella Langley,I just love the song and how she talks about being her best self,Artificial Intelligence that is enhancing our every day like by making hard tasks thoughtless.,60a38ed2
8/17/2026 11:51:29,Neuroscience,"Cary, NC, USA",Stupid Song,Olivia Rodrigo,Itâs very upbeat and makes me feel energized especially while working out or going for a run,AI is any program or algorithm that is able to adapt and evolve using data.,60a38ed2
8/17/2026 11:51:29,Pre-Business Admit,"Charlotte, NC",Man I Need,Olivia Dean,It makes me feel happy.,AI uses programming and prior knowledge to create and provide information.,60a38ed2
8/17/2026 11:51:30,Public Health,Sherrills Ford,Peach sand,Strongs & Hearts,"Energetic, joyful, and at peace.",An algorithm that uses patterns and training to identify words or actions to build responses.,08e2f8f4
8/17/2026 11:51:32,Nutrition BSPH,"Tulsa, Oklahoma",Cleopatra,Lumineers,Itâs a happy reminder of summers when I was young!,AI is a technology that learns and adapts from processing information.,b3250049
8/17/2026 11:51:32,Undecided,Pennsylvania,Wondering Why,Red Clay Strays,It makes me feel hopeful,A predictive language model that formulates responses to prompts based on large data sets.,b3250049
8/17/2026 11:51:33,Biology,Chapel hill,Loser,Tame impala,Makes me feel like spiderman,"AI is artificial intelligence, a math-based tool that adapts to human needs",7db11358
8/17/2026 11:51:36,Political Science & Business,North Carolina,Pursuit of Happiness,Kid Cudi,It reminds me of the summer and the feeling of always being happy.,Technology that helps make human like decisions or provide human like information.,443afef4
8/17/2026 11:51:38,Chemistry,"Charlotte, NC",Starting Over,Chris Stapleton,Nostalgic of my past and also excited for the future.,An advanced computer programming system that helps assist humans to complete tasks anywhere from basic to advanced.,f6de10c5
8/17/2026 11:51:42,pre-business,charlotte north carolina,nice dream,radiohead,it makes me feel reflective on different aspects of my life,a form of technological intelligence that can generate a response to basically any question in a short period of time,96404718
8/17/2026 11:51:42,Biomedical Engineering,"Fayetteville, NC, USA",Lord Knows,Drake,This song makes me feel confident.,A powerful tool that helps you think and create things.,96404718
8/17/2026 11:51:43,Phychology,Charlotte,Burn,Ellie Goulding,Very happy and motivated,"To me, AI is an intelligence that builds upon itself and its users to be used across many different platforms.",f0a875b9
8/17/2026 11:51:44,Business,Colorado,Young Blood,Noah Kahan,The song makes me feel excited for my future.,AI is the output of computers understanding human content and trying to replicate it.,cc68faaf
8/17/2026 11:51:45,Computer Science,Asheville NC,Cool Cat,Queen,It makes me feel reminiscent of a friend that I am far from currently.,AI is a powerful tool that can lead to great success and also great failure.,1dc9af91
8/17/2026 11:51:50,Computer Science,High Point NC,Orchids,Glass Beach,Mystified,A system that can make decisions on its own.,51f82125
8/17/2026 11:51:51,Business,"Matthews, North Carolina, US",Peaceful Easy Feeling,Eagles,Song makes me me feel calm but also makes me reflect on the past.,"AI is a program that learns on its own through different experiences, which then allows it to adapt.",9e834c9b
8/17/2026 11:51:52,Public Policy,Arizona,Been by Now,Morgan Wallen,"Peaceful, that everything will work out.","The future, a tool that you will need to understand in order to not fall behind.",67f30f32
8/17/2026 11:51:54,Business,"Charlotte, NC",Valerie,Amy Winehouse,It is upbeat and makes me feel energized and happy,Ai is a way for things in our daily lives to become easier and aids in summarizing and improving work and answering questions.,9d1914ff
8/17/2026 11:51:55,Psychology,Weddington NC,Hey Jude,The Beatles,Nostalgic and happy because my dad really likes the song.,Any form of a system created by humans that uses patterns or knowledge that it didnât create to perform a task or respond in a way that it synthesized on its own.,15d22aa4
8/17/2026 11:51:57,Biology,"Asheville, NC",Seigfried,Frank Ocean,Like Iâm floating. The instrumentals and slower pace of this song is calming.,Man made software that is able to be trained on data models and patterns to replicate sentient/intelligent behavior.,4aa43b6e
8/17/2026 11:51:57,Comp Sci,,Last Girl on Earth,Lana Del Rey,Enjoyed,powerful,4aa43b6e
8/17/2026 11:51:59,Philosophy,"Durham, NC (United States)",Are you gonna be my girl,Jet,"Makes me feel energetic, excited, and rebellious",Current models characterized are LLMs (large language models) that can evaluate large inputs of data and pull from a variety of existing informational sources.,1a77dc72
8/17/2026 11:52:00,Pre Nursing,Fayetteville NC,Every Breathe You Take,The Police,Very calm and relaxed but also very happy,"AI is a tool we can manipulate and use to help us with numerous things for school, the work place, simple questions, really it helps clarify a lot of things.",2fad5db9
8/17/2026 11:52:02,The department of psychology,"Fort Lee, Nee Jersey",Take it Easy,The Eagles,It makes me feel connected towards my roommates because we have similar music tastes.,The most evolutionary and dangerous technology in human history that many people donât know of itâs extent.,30a889b0
8/17/2026 11:52:03,Applied Sciences- (pre data science i guess),"Wilmington, North Carolina",Homerunner,Slayr,"This song makes me feel energetic and upbeat, it really lightens my mood and just makes me feel free.","AI is created intelligence, it is made from what we already know and uses what we already know to interpret info in new ways.",feab8a7b
8/17/2026 11:52:03,Business Administration,"Charlotte, NC",Choosinâ Texas,Ella Langley,I feel upbeat and a little crazy sometimes because it constantly plays in my head.,AI is a powerful learning tool that allows humans to become more efficient.,feab8a7b
8/17/2026 11:52:06,Computer Science,"Greensboro NC, United States",YMCA,Unknown,The song makes me feel upbeat.,"A system that accepts context and generates a response or performs an action, usually to increase operational efficiency.",0b885f18
8/17/2026 11:52:12,Economics,"Chapel Hill/Apex/Pittsboro, NC, US",Say You Love Me,Fleetwood Mac,"It makes me feel joyful, and puts me in a cheerful or chill mood.",The future of civilization.,913ed9f9
8/17/2026 11:52:14,Neuroscience,"Greensboro, NC",The Rapture Pt. III,"&ME, Black Coffee","It's a calm song, so it's pretty nice for winding down usually.",An entity with a really nice ability to effectively compile from a plethora of information,afd7eca8
8/17/2026 11:52:21,Public Policy,Charlotte,oh well,Ariana Grande,It makes me feel sad that some things I care about are coming to an end but also happy knowing better things are replacing them.,AI is a system in which the model performs tasks for the user and doesnât rely on preset code to complete tasks.,a110422f
8/17/2026 11:52:21,Statistics and Finance,"Concord, North Carolina",Pearls,Sade,This song makes me feel emotional because the song tells a story of underprivileged Nigerian woman with dreams and hopes but no way to act upon them.,AI is a machine learning algorithm that predicts data using past model training.,a110422f
8/17/2026 11:52:23,Computer Science,"Morganton, NC",Congratulations,Post malone & Quavo,complete :),A series of complex neural networks that can predict the next token.,4961c2de
8/17/2026 11:52:25,Undecided,"Bronxville, NY",One of those nights,Tim McGraw,It makes me feel happy.,Computer system capable of completing tasks requiring intelligence and autonomy,0965530b
8/17/2026 11:52:34,Biology,Raleigh NC,Baby weâve got a date,Bod Marley and the wailers,Calm and relaxed since the song is wholesome. And reggae reminds me of my mom who introduced me to the genre which is now my favorite.,A program designed to process a huge collection of data to give the most generative answer to a specific question.,a84d9bd3
8/17/2026 11:52:35,Business,Long Island,Out the Door,Congress the Band,Energetic and an urge to sing along!,A method of collecting inputs and returning outputs that synthesize resources and information.,a73097b0
8/17/2026 11:52:36,College of arts and sciences (majoring in biology l),Charlotte,Dashboard,Noah Kahan,Sad but nostalgic,AI is a resource that can provide assistance with real life situations and provide âhumanâ answers.,b7410387
8/17/2026 11:52:36,,Asheville north carolina,Vienna,Billy Joel,I love this song especially at this time in my life because it emphasizes slowing down and enjoying where you are.,"My definition of AI would be that I donât have an adequate definition, Iâm not able to comprehend what AI is or how it works, at least not yet. I just have always defined it as a tool to help advance civilization and technology.",b7410387
8/17/2026 11:52:36,Pre Nursing,Wake forest NC,For Cryâin out loud,Glen Campbell,It makes me feel happy and self reflective.,AI is a tool that can be used to automate tasks in a number of different environments.,b7410387
8/17/2026 11:52:38,Economics and management society,"Denver, North Carolina",Donât cross the river,America,The best way to describe it is to say it makes me feel anticipation,"Artificial intelligence, coded data designed to assist us with everyday tasks.",c8eb20b2
8/17/2026 11:52:39,Business,Timberlake NC USA,Good directions,Billy Currington,It makes me feel like Iâm home or a day at the lake.,It is a software that learns from itself overtime. Then it uses it's data to make the best outcome.,937e6403
8/17/2026 11:52:39,Exercise/Sports Science (but Iâm hoping to be accepted into the business program next year),"Durham, NC",Love Yourz,J. Cole,Listening to this song helps me feel hopeful and reminds me to stay positive and grateful even when Iâm having a rough time.,I would define AI as any digital system that attempts to replicate human intellectual capabilities.,937e6403
8/17/2026 11:52:41,Biochemistry,Cary,Have you ever seen the rain,Creedence Clearwater revival,It makes me feel upbeat.,Any program that uses a learning system to improve itself at its function.,fd7eec4a
8/17/2026 11:52:42,Economics,Charlotte,Expectations,Olivia Rodrigo,I feel like I could run a marathon.,AI is a tool that makes life easier,23ef7162
8/17/2026 11:52:47,Heels up,Apex North Carolina,The bare necessities,Shalin,It makes me feel happy,AI is like technology,978195d6
8/17/2026 11:52:48,"Kenan Flagler Business School & Public Policy, Iâm also interested in the AI minor as well.","Wilmington, NC",Back to Oz,Sufjan Stevens & Angelo De Augustine,When I listen to this song I feel at ease and happy.,AI powers any system that doesnât use human intelligence,f743111a
8/17/2026 11:52:51,Public health,"Matthews, North Carolina","Youâre on your own, kid",Taylor Swift,"When I listen to this song, I feel happy, sad, excited, and nervous for my future here at Carolina because I am now on my own.","A complex system which interacts with users through the use of data, math, and scientific knowledge.",8e2d6495
8/17/2026 11:52:52,Biology (BS),Istanbul/Turkiye,Locked out of heaven,Bruno Mars,It makes me feel like i am out of heaven,Al is when computers can think like humans.,8037aac3
8/17/2026 11:52:53,Political Science,"Charleston, South Carolina",Feelin good again,Robert Earl Keen,"I feel a wave of calmness because as life is difficult and certain time periods can be significantly more challenging, it is important to appreciate the little things.",Artificial intelligence is non human generated ways of gaining information or acting,9c6ea6dd
8/17/2026 11:52:57,Bachelors of Science in Economics,Monroe NC,Saturday Night,Misfits,It makes me feel like I want to party at an underground rock show in the 90s,A computer program that replicates human intelligence.,bbf68ff9
8/17/2026 11:53:00,Neuroscience,"Charlotte, North Carolina",Moscow Mule,Bad bunny,"This song makes me feel energized, happy, and inspired by how talented and unique he is.",AI is a system of programmed intelligence that can adjust to prompts.,9e7407e8
8/17/2026 11:53:00,Business Administration,"Nashua, New Hampshire",Candy Rain,Soul For Real,"This song makes me feel enjoyment and happiness inside, as if I donât have a care for anything else in the world.",AI is a system which assists humans with their tasks and goals.,9e7407e8
8/17/2026 11:53:01,Political Science,"Raleigh, NC",Mountain Song,Flatland Cavalry,This song makes me feel a bit nostalgic and reflective over a lot of bittersweet moments as I make the transition into college.,"AI is the set of programs, formulas, and applications of artificially created responses.",95625628
8/17/2026 11:53:17,Neuroscience,"Holly Springs, North Carolina",Coming of Age,Foster the People,This song makes me feel thoughtful and reflective because it is about being selfish and self-motivated and in turn forgetting about other people that you care about.,AI is a computer tool and system that can in a way think for itself by solving problems and answering questions.,ca50b8d7
8/17/2026 11:53:21,Data Science and Pre-Business,"Charlotte, NC",Billie Jean,Micheal Jackson,It makes me feel super energized and excited.,"AI is a helpful tool used to answer questions, create things such as documents, and more.",f0e452fe
8/17/2026 11:53:23,Statistics,"Wilmington, NC, USA",Safe and Sound,Capital Cities,It makes me feel relaxed and happy,AI is a system that learns from data to do things that arenât specifically programmed,61747b88
8/17/2026 11:53:27,Economics,"Charlotte, NC, USA",Carolina in my Mind,James Taylor,It makes me feel prepared for the new challenges and experiences I will experience in Chapel Hill.,AI is a generative system developed from the information found in the database we call the internet usually through LLMs.,6b655ef5
8/17/2026 11:53:28,Business Administration,"Wendell, NC",SeÃ±orita,Justin Timberlake,This song makes me feel upbeat and ready to start my day.,I see AI as an artificial tool that can make your life easier in many ways.,f1413414
8/17/2026 11:53:33,Economics,"Raleigh, NC",Spanish Joint,DâAngelo,"I recently played this song on a my first paying gig and it was by far our best song of the night, so it makes me feel connected to those around me I. The music scene.",AI is anything generated by technology as opposed to being generated by humans.,bd0979de
8/17/2026 11:53:45,Psychology,Charlotte,Nutshell,Alice in Chains,"The song is describing how a person has been deceived or manipulated, but instead of chasing those lies you need to focus on the now. So the lyrics as well as the music behind it all makes me feel connected with my reality of starting a new chapter here at UNC.",A platform accessible to everyone to answer need-base questions with an intellectual ability beyond human comprehension.,d40151a5
8/17/2026 11:54:08,Biomedical engineering,North Carolina,Judas,Lady gaga,"Hype a little I guess, Just keep hearing this song in edits from a show that Iâm currently watching",A tool that can help people do certain tasks that is pretty accurate but can still make mistakes.,eeaca6e9
8/17/2026 11:54:08,Undecided/Undeclared (Planning on CS),"Sanford, NC",Tenebre Rosso Sangue,Keygen Church,This song makes me feel epic.,Usage of certain computational methods in order to assist in previously manual tasks.,eeaca6e9
